row_id,movie,year,imdb,metascore,votes
0,Gladiator,2000,8.5,67.0,1187559
1,Memento,2000,8.5,80.0,1014199
3,Requiem for a Dream,2000,8.3,68.0,688394
4,X-Men,2000,7.4,64.0,526411
5,Cast Away,2000,7.8,73.0,465125
6,American Psycho,2000,7.6,64.0,422475
7,Unbreakable,2000,7.3,62.0,335334
8,Meet the Parents,2000,7.0,73.0,290126
10,"O Brother, Where Art Thou?",2000,7.8,69.0,261119
12,Wo hu cang long,2000,7.9,93.0,237498
13,The Patriot,2000,7.2,63.0,234473
14,Almost Famous,2000,7.9,90.0,232474
20,Amores perros,2000,8.1,83.0,204468
21,Traffic,2000,7.6,86.0,184710
25,Chocolat,2000,7.3,64.0,166739
27,Chicken Run,2000,7.0,88.0,161403
29,Batoru rowaiaru,2000,7.7,81.0,157589
30,High Fidelity,2000,7.5,79.0,157024
31,The Emperor's New Groove,2000,7.3,70.0,156918
32,Erin Brockovich,2000,7.3,73.0,156488
38,Billy Elliot,2000,7.7,74.0,112664
39,Shanghai Noon,2000,6.6,77.0,110410
44,Faa yeung nin wa,2000,8.1,85.0,103042
49,Frequency,2000,7.4,67.0,93428
50,Gladiator,2000,8.5,67.0,1187559
51,Memento,2000,8.5,80.0,1014199
53,Requiem for a Dream,2000,8.3,68.0,688394
54,X-Men,2000,7.4,64.0,526411
55,Cast Away,2000,7.8,73.0,465125
56,American Psycho,2000,7.6,64.0,422475
57,Unbreakable,2000,7.3,62.0,335334
58,Meet the Parents,2000,7.0,73.0,290126
60,"O Brother, Where Art Thou?",2000,7.8,69.0,261119
62,Wo hu cang long,2000,7.9,93.0,237498
63,The Patriot,2000,7.2,63.0,234473
64,Almost Famous,2000,7.9,90.0,232474
70,Amores perros,2000,8.1,83.0,204468
71,Traffic,2000,7.6,86.0,184710
75,Chocolat,2000,7.3,64.0,166739
77,Chicken Run,2000,7.0,88.0,161403
79,Batoru rowaiaru,2000,7.7,81.0,157589
80,High Fidelity,2000,7.5,79.0,157024
81,The Emperor's New Groove,2000,7.3,70.0,156918
82,Erin Brockovich,2000,7.3,73.0,156488
88,Billy Elliot,2000,7.7,74.0,112664
89,Shanghai Noon,2000,6.6,77.0,110410
94,Faa yeung nin wa,2000,8.1,85.0,103042
99,Frequency,2000,7.4,67.0,93428
100,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92.0,1478783
101,A Beautiful Mind,2001,8.2,72.0,756786
102,"Monsters, Inc.",2001,8.1,78.0,724068
103,Donnie Darko,2001,8.1,88.0,688260
104,Amélie,2001,8.3,69.0,641467
105,Harry Potter and the Sorcerer's Stone,2001,7.6,64.0,558883
106,Shrek,2001,7.9,84.0,551023
107,Sen to Chihiro no kamikakushi,2001,8.6,96.0,542956
108,Ocean's Eleven,2001,7.8,74.0,467764
109,Training Day,2001,7.7,69.0,351876
110,Black Hawk Down,2001,7.7,74.0,334764
112,The Others,2001,7.6,74.0,309699
115,Mulholland Dr.,2001,8.0,83.0,286463
117,Artificial Intelligence: AI,2001,7.1,65.0,271351
119,Moulin Rouge!,2001,7.6,66.0,249368
120,The Royal Tenenbaums,2001,7.6,76.0,242710
123,Zoolander,2001,6.6,61.0,228393
128,Bridget Jones's Diary,2001,6.7,66.0,203237
141,Spy Game,2001,7.1,63.0,133889
144,The Score,2001,6.8,71.0,112132
148,Ghost World,2001,7.4,88.0,105974
149,Y tu mamá también,2001,7.7,88.0,105537
